,Batch,Eng7,Eng8,Eng9,Math7,Math8,Math9,Sci7,Sci8,Sci9,GWA7,GWA8,GWA9,UP,IQ,Target
0,2005,77,82.0,86,94,87,92.0,84,80,92,1.4764,1.5045,1.4098,1,55.0,1
1,2005,57,57.0,59,55,46,57.0,53,45,53,2.6557,2.7,2.7008,1,38.0,0
2,2005,55,52.0,55,57,53,51.0,57,62,51,2.6132,2.6818,2.7172,0,17.0,0
3,2005,69,78.0,78,87,79,79.0,83,82,79,1.7217,1.6136,1.7049,1,45.0,0
4,2005,64,71.0,68,71,57,54.0,60,59,55,2.4245,2.4318,2.4713,1,67.0,0
5,2005,66,61.0,68,57,50,53.0,71,51,55,2.4575,2.5909,2.4672,0,79.0,0
6,2005,73,82.0,77,90,82,74.0,77,77,68,1.7594,1.6682,1.9344,1,89.0,1
7,2005,85,86.0,88,82,76,78.0,93,87,81,1.4764,1.4682,1.5,0,94.0,1
8,2005,70,68.0,67,77,67,61.0,72,61,62,2.0377,2.2045,2.4221,0,90.0,0
9,2005,49,49.0,51,51,50,50.0,62,55,47,2.6179,2.6909,2.7992,0,25.0,0
10,2005,76,78.0,75,83,77,84.0,86,77,80,1.7075,1.7227,1.7131,0,81.0,1
11,2005,63,60.0,57,62,62,56.0,69,66,58,2.2594,2.3182,2.3525,1,29.0,0
12,2005,80,82.0,83,85,80,81.0,92,87,83,1.5094,1.5818,1.6475,0,91.0,1
13,2005,61,55.0,64,52,48,58.0,63,57,53,2.533,2.6727,2.5738,0,52.0,0
14,2005,63,66.0,69,64,59,53.0,76,50,59,2.1415,2.2909,2.3074,1,57.0,0
15,2005,70,75.0,74,84,73,81.0,82,71,71,1.8585,1.9364,1.9221,0,87.0,1
16,2005,75,77.0,83,66,67,68.0,72,69,77,2.0047,1.8955,1.7951,1,62.0,1
17,2005,54,46.0,53,54,50,50.0,60,63,49,2.9057,2.6864,2.7828,0,57.0,0
18,2005,63,74.0,67,75,70,69.0,76,64,71,1.8774,2.0091,2.0492,0,60.0,0
19,2005,72,74.0,78,79,75,73.0,76,71,69,1.8208,1.8864,1.9344,0,62.0,0
20,2005,81,79.0,74,90,84,84.0,92,85,81,1.4245,1.5136,1.6516,0,89.0,1
21,2005,63,70.0,75,61,62,64.0,73,65,57,2.2406,2.25,2.0984,1,45.0,1
22,2005,53,50.0,54,68,58,50.0,70,69,59,2.3585,2.5773,2.6762,1,55.0,0
